date, pm25, pm10, o3, no2, so2, co,AQI,index
12/31/2020,38,12,18,15,1,4,38,Good
12/30/2020,37,10,19,13,1,4,37,Good
12/29/2020,26,12,14,13,1,4,26,Good
12/28/2020,32,9,21,13,1,4,32,Good
12/27/2020,28,10,19,10,1,4,28,Good
12/26/2020,43,9,17,14,1,4,43,Good
12/25/2020,50,13,23,11,1,4,50,Good
12/24/2020,33,12,9,19,1,4,33,Good
12/23/2020,52,8,16,9,1,3,52,Moderate
12/22/2020,43,13,4,17,1,4,43,Good
12/21/2020,52,10,19,15,1,4,52,Moderate
12/20/2020,27,18,6,19,2,4,27,Good
12/19/2020,23,6,17,11,1,3,23,Good
12/18/2020,24,10,33,1,2,2,33,Good
12/17/2020,83,10,34,1,1,2,83,Moderate
12/16/2020,87,32,42,4,2,3,87,Moderate
12/15/2020,79,38,31,10,1,3,79,Moderate
12/14/2020,77,39,27,16,2,3,77,Moderate
12/13/2020,54,38,22,15,3,3,54,Moderate
12/12/2020,48,24,21,14,3,2,48,Good
12/11/2020,26,17,26,6,2,2,26,Good
12/10/2020,24,12,30,4,1,2,30,Good
12/9/2020,27,9,28,5,1,2,28,Good
12/8/2020,16,12,27,11,1,2,27,Good
12/7/2020,18,8,24,10,1,2,24,Good
12/6/2020,21,10,28,7,1,2,28,Good
12/5/2020,15,10,27,9,1,2,27,Good
12/4/2020,28,6,32,5,1,2,32,Good
12/3/2020,18,9,27,10,1,2,27,Good
12/2/2020,19,8,27,9,1,2,27,Good
12/1/2020,15,10,29,6,1,3,29,Good
11/30/2020,9,7,31,10,1,3,31,Good
11/29/2020,22,3,26,8,1,3,26,Good
11/28/2020,14,9,25,12,2,3,25,Good
11/27/2020,32,6,31,5,2,2,32,Good
11/26/2020,63,14,31,9,2,2,63,Moderate
11/25/2020,49,25,24,20,2,3,49,Good
11/24/2020,51,20,26,16,2,2,51,Moderate
11/23/2020,47,17,22,14,2,2,47,Good
11/22/2020,25,13,19,17,1,2,25,Good
11/21/2020,22,9,29,7,1,1,29,Good
11/20/2020,37,6,28,7,1,1,37,Good
11/19/2020,26,10,22,20,2,2,26,Good
11/18/2020,22,8,28,12,1,1,28,Good
11/17/2020,24,8,26,12,1,3,26,Good
11/16/2020,28,6,28,15,1,4,28,Good
11/15/2020,20,7,25,12,1,4,25,Good
11/14/2020,21,7,29,8,2,3,29,Good
11/13/2020,31,8,32,5,2,3,32,Good
11/12/2020,20,10,27,8,2,3,27,Good
11/11/2020,36,6,31,8,1,3,36,Good
11/10/2020,27,11,27,13,1,3,27,Good
11/9/2020,30,10,25,10,2,3,30,Good
11/8/2020,56,12,16,22,1,5,56,Moderate
11/7/2020,60,17,15,26,1,5,60,Moderate
11/6/2020,39,22,12,21,3,5,39,Good
11/5/2020,36,13,30,12,2,3,36,Good
11/4/2020,40,12,29,9,1,4,40,Good
11/3/2020,36,13,24,12,3,4,36,Good
11/2/2020,28,12,29,5,3,3,29,Good
11/1/2020,36,8,25,8,2,3,36,Good
10/31/2020,36,11,28,14,2,4,36,Good
10/30/2020,30,12,27,11,2,4,30,Good
10/29/2020,41,11,25,13,2,4,41,Good
10/28/2020,54,14,17,22,3,4,54,Moderate
10/27/2020,61,15,15,15,2,4,61,Moderate
10/26/2020,34,16,15,14,3,4,34,Good
10/24/2020,47,8,23,11,2,4,47,Good
10/23/2020,52,12,22,15,2,4,52,Moderate
10/22/2020,40,12,19,16,2,4,40,Good
10/21/2020,45,12,19,15,2,3,45,Good
10/20/2020,44,14,24,16,2,4,44,Good
10/19/2020,31,13,18,14,2,3,31,Good
10/18/2020,33,10,25,10,2,3,33,Good
10/17/2020,40,10,21,15,2,4,40,Good
10/16/2020,32,13,29,15,3,3,32,Good
10/15/2020,33,11,22,14,2,4,33,Good
10/14/2020,37,9,28,14,2,2,37,Good
10/13/2020,37,10,27,17,2,1,37,Good
10/12/2020,24,9,21,14,2,2,24,Good
10/11/2020,40,6,29,6,2,1,40,Good
10/10/2020,32,11,24,18,2,1,32,Good
10/9/2020,52,10,25,15,2,1,52,Moderate
10/8/2020,38,22,22,18,2,2,38,Good
10/7/2020,36,14,23,11,2,1,36,Good
10/6/2020,40,11,27,9,2,1,40,Good
10/5/2020,33,10,22,9,2,2,33,Good
10/4/2020,41,9,27,10,2,1,41,Good
10/3/2020,45,12,23,10,2,1,45,Good
10/2/2020,85,12,24,10,2,1,85,Moderate
