End Date,End Time,CO, PM10, M_DIR, M_SPED, M_T, NO, NO2, NOXasNO2, O3, PM25, SO2
1/1/2020,1:00:00,0.126628,31.4,149.8,0,-0.5,5.77062,40.9705,49.81866,12.04072,27.9,1.76441
1/1/2020,2:00:00,0.130465,33.7,167.6,0.7,0.6,8.32555,42.53576,55.30142,10.77678,32.4,1.49975
1/1/2020,3:00:00,0.120872,34.3,188.1,1.3,1.2,9.18453,41.91247,55.99523,10.97635,30.1,1.38947
1/1/2020,4:00:00,0.12375,38.3,194.8,0.7,1.9,7.4996,38.86094,50.36017,10.57721,30.8,1.19098
1/1/2020,5:00:00,0.152529,37.3,188.5,1.7,2.6,10.30782,40.13936,55.94446,8.23226,34.4,1.32331
1/1/2020,6:00:00,0.117994,36.1,208.3,1.7,3,5.38518,34.7419,42.99906,9.9785,31.2,1.25715
1/1/2020,7:00:00,0.094971,31.4,206.2,2,3.1,6.21112,34.99845,44.52204,13.27141,29.7,1.05865
1/1/2020,8:00:00,0.083459,24.3,213.1,1.8,2.9,4.06366,29.50862,35.73948,20.75528,25.2,0.99248
1/1/2020,9:00:00,0.106482,28.2,199.9,1.8,2.7,11.5963,39.02674,56.80749,10.97635,23.4,1.12481
1/1/2020,10:00:00,0.071948,26.7,188,2.3,2,7.10315,29.31557,40.20691,18.70969,22.7,0.72782
1/1/2020,11:00:00,0.066192,26.8,208.4,1.3,1.6,5.38518,22.60876,30.86591,25.9441,23,1.32331
1/1/2020,12:00:00,0.126628,28.7,272.6,1.1,2,7.86302,22.71846,34.77492,26.29335,28.9,1.38947
1/1/2020,13:00:00,0.149651,23,251.2,1.7,3.3,8.09428,21.247,33.65806,28.33894,28.4,1.19098
1/1/2020,14:00:00,0.146773,32.6,228.7,1.4,4.1,6.80581,20.22742,30.66285,29.68604,32.5,0.92632
1/1/2020,15:00:00,0.207209,33.3,194,1.8,3.1,8.25947,23.83662,36.50097,25.39528,33.7,1.45564
1/1/2020,16:00:00,0.175552,33.4,214.7,2.3,1.4,8.22644,27.94858,40.56227,22.20216,34,0.79399
1/1/2020,17:00:00,0.141017,30.6,220.8,2.3,0.4,5.84771,29.46373,38.43009,21.90281,28,0.92632
1/1/2020,18:00:00,0.132384,30.7,186.4,1.9,-0.4,5.41821,30.47764,38.78545,20.45593,29.6,0.92632
1/1/2020,19:00:00,0.117994,29.4,196.5,2.1,-0.6,4.65834,27.98759,35.13028,22.40173,30.2,0.86015
1/1/2020,20:00:00,0.141017,31.9,221.7,2,1.5,6.0129,31.54569,40.76534,16.41463,29.8,0.99248
1/1/2020,21:00:00,0.195697,33.7,218.4,2.1,2.6,14.86705,41.27124,64.06707,5.73764,36.2,1.12481
